'Elapsed time','v4'
0.695,-0.131
0.696,-0.129
0.697,-0.134
0.698,-0.141
0.699,-0.137
0.700,-0.146
0.701,-0.162
0.702,-0.168
0.703,-0.163
0.704,-0.150
0.705,-0.148
0.706,-0.143
0.707,-0.133
0.708,-0.123
0.709,-0.108
0.710,-0.098
0.711,-0.089
0.712,-0.076
0.713,-0.061
0.714,-0.043
0.715,-0.026
0.716,-0.018
0.717,-0.008
0.718,0.014
0.719,0.022
0.720,0.027
0.721,0.042
0.722,0.048
0.723,0.051
0.724,0.060
0.725,0.066
0.726,0.069
0.727,0.075
0.728,0.080
0.729,0.086
0.730,0.085
0.731,0.080
0.732,0.083
0.733,0.091
0.734,0.089
0.735,0.088
0.736,0.090
0.737,0.087
0.738,0.085
0.739,0.086
0.740,0.093
0.741,0.088
0.742,0.089
0.743,0.095
0.744,0.092
0.745,0.088
0.746,0.091
0.747,0.099
0.748,0.097
0.749,0.094
0.750,0.097
0.751,0.094
0.752,0.093
0.753,0.097
0.754,0.098
0.755,0.100
0.756,0.097
0.757,0.094
0.758,0.099
0.759,0.089
0.760,0.080
0.761,0.086
0.762,0.093
0.763,0.095
0.764,0.087
0.765,0.084
0.766,0.088
0.767,0.090
0.768,0.091
0.769,0.089
0.770,0.088
0.771,0.087
0.772,0.089
0.773,0.091
0.774,0.087
0.775,0.085
0.776,0.089
0.777,0.088
0.778,0.088
0.779,0.086
0.780,0.079
0.781,0.081
0.782,0.080
0.783,0.082
0.784,0.083
0.785,0.079
0.786,0.081
0.787,0.081
0.788,0.077
0.789,0.080
0.790,0.077
0.791,0.072
0.792,0.076
0.793,0.071
0.794,0.073
0.795,0.076
0.796,0.075
0.797,0.080
0.798,0.074
0.799,0.075
0.800,0.080
0.801,0.078
0.802,0.079
0.803,0.080
0.804,0.080
0.805,0.082
0.806,0.085
0.807,0.086
0.808,0.090
0.809,0.095
0.810,0.084
0.811,0.077
0.812,0.075
0.813,0.077
0.814,0.084
0.815,0.077
0.816,0.075
0.817,0.077
0.818,0.080
0.819,0.081
0.820,0.080
0.821,0.083
0.822,0.080
0.823,0.072
0.824,0.070
0.825,0.079
0.826,0.082
0.827,0.083
0.828,0.083
0.829,0.083
0.830,0.076
0.831,0.076
0.832,0.090
0.833,0.089
0.834,0.083
0.835,0.081
0.836,0.078
0.837,0.079
0.838,0.079
0.839,0.081
0.840,0.085
0.841,0.088
0.842,0.084
0.843,0.081
0.844,0.088
0.845,0.095
0.846,0.092
0.847,0.090
0.848,0.088
0.849,0.092
0.850,0.098
0.851,0.098
0.852,0.102
0.853,0.103
0.854,0.103
0.855,0.107
0.856,0.111
0.857,0.112
0.858,0.108
0.859,0.111
0.860,0.117
0.861,0.119
0.862,0.115
0.863,0.116
0.864,0.117
0.865,0.117
0.866,0.117
0.867,0.118
0.868,0.123
0.869,0.127
0.870,0.127
0.871,0.127
0.872,0.129
0.873,0.130
0.874,0.129
0.875,0.133
0.876,0.136
0.877,0.138
0.878,0.138
0.879,0.132
0.880,0.131
0.881,0.140
0.882,0.139
0.883,0.137
0.884,0.144
0.885,0.146
0.886,0.155
0.887,0.146
0.888,0.140
0.889,0.143
0.890,0.143
0.891,0.148
0.892,0.155
0.893,0.161
0.894,0.162
0.895,0.164
0.896,0.163
0.897,0.165
0.898,0.169
0.899,0.170
0.900,0.172
0.901,0.175
0.902,0.178
0.903,0.181
0.904,0.176
0.905,0.177
0.906,0.182
0.907,0.179
0.908,0.182
0.909,0.184
0.910,0.180
0.911,0.182
0.912,0.185
0.913,0.193
0.914,0.198
0.915,0.195
0.916,0.198
0.917,0.195
0.918,0.186
0.919,0.192
0.920,0.196
0.921,0.186
0.922,0.198
0.923,0.209
0.924,0.199
0.925,0.201
0.926,0.204
0.927,0.191
0.928,0.195
0.929,0.203
0.930,0.201
0.931,0.200
0.932,0.202
0.933,0.201
0.934,0.199
0.935,0.204
0.936,0.200
0.937,0.198
0.938,0.205
0.939,0.207
0.940,0.204
0.941,0.203
0.942,0.203
0.943,0.205
0.944,0.205
0.945,0.205
0.946,0.204
0.947,0.202
0.948,0.205
0.949,0.205
0.950,0.206
0.951,0.203
0.952,0.197
0.953,0.203
0.954,0.196
0.955,0.192
0.956,0.195
0.957,0.190
0.958,0.192
0.959,0.194
0.960,0.193
0.961,0.191
0.962,0.190
0.963,0.192
0.964,0.188
0.965,0.190
0.966,0.187
0.967,0.180
0.968,0.184
0.969,0.185
0.970,0.186
0.971,0.189
0.972,0.186
0.973,0.188
0.974,0.188
0.975,0.177
0.976,0.176
0.977,0.179
0.978,0.181
0.979,0.181
0.980,0.172
0.981,0.168
0.982,0.168
0.983,0.170
0.984,0.175
0.985,0.170
0.986,0.168
0.987,0.175
0.988,0.166
0.989,0.161
0.990,0.163
0.991,0.165
0.992,0.167
0.993,0.159
0.994,0.160
0.995,0.160
0.996,0.157
0.997,0.156
0.998,0.154
0.999,0.160
1.000,0.160
1.001,0.157
1.002,0.158
1.003,0.159
1.004,0.158
1.005,0.152
1.006,0.149
1.007,0.154
1.008,0.157
1.009,0.158
1.010,0.153
1.011,0.147
1.012,0.152
1.013,0.148
1.014,0.143
1.015,0.144
1.016,0.143
1.017,0.147
1.018,0.146
1.019,0.141
1.020,0.145
1.021,0.146
1.022,0.145
1.023,0.146
1.024,0.148
1.025,0.147
1.026,0.142
1.027,0.144
1.028,0.143
1.029,0.143
1.030,0.147
1.031,0.144
1.032,0.144
1.033,0.150
1.034,0.154
1.035,0.151
1.036,0.147
1.037,0.150
1.038,0.141
1.039,0.128
1.040,0.133
1.041,0.140
1.042,0.137
1.043,0.139
1.044,0.136
1.045,0.131
1.046,0.130
1.047,0.137
1.048,0.141
1.049,0.136
1.050,0.138
1.051,0.139
1.052,0.141
1.053,0.137
1.054,0.136
1.055,0.135
1.056,0.132
1.057,0.132
1.058,0.133
1.059,0.135
1.060,0.132
1.061,0.130
1.062,0.130
1.063,0.134
1.064,0.135
1.065,0.133
1.066,0.130
1.067,0.130
1.068,0.135
1.069,0.133
1.070,0.133
1.071,0.132
1.072,0.129
1.073,0.129
1.074,0.128
1.075,0.126
1.076,0.130
1.077,0.132
1.078,0.127
1.079,0.127
1.080,0.129
1.081,0.129
1.082,0.129
1.083,0.124
1.084,0.127
1.085,0.131
1.086,0.133
1.087,0.139
1.088,0.139
1.089,0.139
1.090,0.142
1.091,0.140
1.092,0.130
1.093,0.126
1.094,0.128
1.095,0.133
1.096,0.133
1.097,0.129
1.098,0.126
1.099,0.127
1.100,0.129
1.101,0.122
1.102,0.126
1.103,0.123
1.104,0.120
1.105,0.130
1.106,0.123
1.107,0.124
1.108,0.130
1.109,0.129
1.110,0.126
1.111,0.117
1.112,0.117
1.113,0.119
1.114,0.121
1.115,0.122
1.116,0.124
1.117,0.123
1.118,0.123
1.119,0.124
1.120,0.126
1.121,0.120
1.122,0.119
1.123,0.130
1.124,0.126
1.125,0.112
1.126,0.114
1.127,0.124
1.128,0.128
1.129,0.127
1.130,0.125
1.131,0.133
1.132,0.144
1.133,0.142
1.134,0.135
1.135,0.131
1.136,0.134
1.137,0.134
1.138,0.137
1.139,0.138
1.140,0.130
1.141,0.127
1.142,0.129
1.143,0.131
1.144,0.131
1.145,0.129
1.146,0.130
1.147,0.131
1.148,0.130
1.149,0.130
1.150,0.130
1.151,0.131
1.152,0.131
1.153,0.131
1.154,0.136
1.155,0.132
1.156,0.131
1.157,0.132
1.158,0.131
1.159,0.137
1.160,0.137
1.161,0.135
1.162,0.133
1.163,0.136
1.164,0.137
1.165,0.137
1.166,0.132
1.167,0.126
1.168,0.133
1.169,0.135
1.170,0.134
1.171,0.133
1.172,0.141
1.173,0.140
1.174,0.134
1.175,0.138
1.176,0.139
1.177,0.144
1.178,0.145
1.179,0.145
1.180,0.143
1.181,0.141
1.182,0.142
1.183,0.141
1.184,0.141
1.185,0.141
1.186,0.145
1.187,0.150
1.188,0.151
1.189,0.153
1.190,0.153
1.191,0.161
1.192,0.169
1.193,0.161
1.194,0.159
1.195,0.162
1.196,0.160
1.197,0.159
1.198,0.158
1.199,0.163
1.200,0.170
1.201,0.173
1.202,0.177
1.203,0.179
1.204,0.182
1.205,0.189
1.206,0.193
1.207,0.190
1.208,0.191
1.209,0.194
1.210,0.194
1.211,0.201
1.212,0.205
1.213,0.197
1.214,0.193
1.215,0.199
1.216,0.203
1.217,0.203
1.218,0.199
1.219,0.198
1.220,0.196
1.221,0.190
1.222,0.192
1.223,0.194
1.224,0.191
1.225,0.183
1.226,0.179
1.227,0.178
1.228,0.178
1.229,0.180
1.230,0.180
1.231,0.186
1.232,0.192
1.233,0.190
1.234,0.192
1.235,0.194
1.236,0.198
1.237,0.200
1.238,0.195
1.239,0.196
1.240,0.192
1.241,0.174
1.242,0.160
1.243,0.161
1.244,0.164
1.245,0.162
1.246,0.163
1.247,0.158
1.248,0.157
1.249,0.158
1.250,0.161
1.251,0.166
1.252,0.167
1.253,0.172
1.254,0.176
1.255,0.174
1.256,0.168
1.257,0.166
1.258,0.165
1.259,0.165
1.260,0.166
1.261,0.162
1.262,0.165
1.263,0.164
1.264,0.161
1.265,0.165
1.266,0.169
1.267,0.174
1.268,0.169
1.269,0.165
1.270,0.173
1.271,0.170
1.272,0.165
1.273,0.162
1.274,0.156
1.275,0.154
1.276,0.152
1.277,0.150
1.278,0.148
1.279,0.148
1.280,0.148
1.281,0.143
1.282,0.145
1.283,0.144
1.284,0.144
1.285,0.143
1.286,0.134
1.287,0.126
1.288,0.123
1.289,0.123
1.290,0.120
1.291,0.120
1.292,0.120
1.293,0.121
1.294,0.122
1.295,0.120
1.296,0.115
1.297,0.117
1.298,0.121
1.299,0.119
1.300,0.121
1.301,0.123
1.302,0.123
1.303,0.123
1.304,0.123
1.305,0.123
1.306,0.122
1.307,0.131
1.308,0.134
1.309,0.127
1.310,0.137
1.311,0.138
1.312,0.117
1.313,0.117
1.314,0.124
1.315,0.120
1.316,0.121
1.317,0.127
1.318,0.120
1.319,0.111
1.320,0.113
1.321,0.115
1.322,0.115
1.323,0.114
1.324,0.114
1.325,0.116
1.326,0.118
1.327,0.126
1.328,0.129
1.329,0.125
1.330,0.127
1.331,0.122
1.332,0.117
1.333,0.120
1.334,0.132
1.335,0.135
1.336,0.129
1.337,0.118
1.338,0.116
1.339,0.115
1.340,0.108
1.341,0.108
1.342,0.111
1.343,0.112
1.344,0.115
1.345,0.118
1.346,0.110
1.347,0.099
1.348,0.092
1.349,0.079
1.350,0.065
1.351,0.051
1.352,0.033
1.353,0.023
1.354,0.024
1.355,0.029
1.356,0.044
1.357,0.067
1.358,0.080
1.359,0.098
1.360,0.125
1.361,0.155
1.362,0.180
1.363,0.197
1.364,0.218
1.365,0.255
1.366,0.301
1.367,0.341
1.368,0.391
1.369,0.455
1.370,0.514
1.371,0.567
1.372,0.618
1.373,0.676
1.374,0.729
1.375,0.776
1.376,0.840
1.377,0.871
1.378,0.862
1.379,0.867
1.380,0.868
1.381,0.867
1.382,0.856
1.383,0.821
1.384,0.775
1.385,0.723
1.386,0.653
1.387,0.571
1.388,0.478
1.389,0.343
1.390,0.166
1.391,0.009
1.392,-0.142
1.393,-0.289
1.394,-0.386
1.395,-0.445
1.396,-0.468
1.397,-0.481
1.398,-0.506
1.399,-0.531
1.400,-0.555
1.401,-0.584
1.402,-0.604
1.403,-0.626
1.404,-0.637
1.405,-0.653
1.406,-0.675
1.407,-0.663
1.408,-0.649
1.409,-0.627
1.410,-0.598
1.411,-0.577
1.412,-0.563
1.413,-0.555
1.414,-0.537
1.415,-0.504
1.416,-0.465
1.417,-0.425
1.418,-0.394
1.419,-0.364
1.420,-0.348
1.421,-0.332
1.422,-0.307
1.423,-0.302
1.424,-0.309
1.425,-0.308
1.426,-0.294
1.427,-0.289
1.428,-0.283
1.429,-0.271
1.430,-0.255
1.431,-0.232
1.432,-0.220
1.433,-0.200
1.434,-0.185
1.435,-0.176
1.436,-0.159
1.437,-0.153
1.438,-0.139
1.439,-0.130
1.440,-0.139
1.441,-0.135
1.442,-0.135
1.443,-0.143
1.444,-0.150
1.445,-0.155
1.446,-0.155
1.447,-0.150
1.448,-0.145
1.449,-0.153
1.450,-0.156
1.451,-0.147
1.452,-0.142
1.453,-0.138
1.454,-0.127
1.455,-0.112
1.456,-0.102
1.457,-0.093
1.458,-0.080
1.459,-0.061
1.460,-0.043
1.461,-0.032
1.462,-0.022
1.463,-0.011
1.464,-0.006
1.465,-0.002
1.466,0.005
1.467,0.018
1.468,0.033
1.469,0.042
1.470,0.050
1.471,0.052
1.472,0.061
1.473,0.062
1.474,0.065
1.475,0.081
1.476,0.081
1.477,0.074
1.478,0.073
1.479,0.081
1.480,0.084
1.481,0.072
1.482,0.082
1.483,0.090
1.484,0.081
1.485,0.075
1.486,0.072
1.487,0.069
1.488,0.065
1.489,0.063
1.490,0.063
1.491,0.063
1.492,0.068
1.493,0.073
1.494,0.079
1.495,0.077
1.496,0.073
1.497,0.074
1.498,0.078
1.499,0.082
1.500,0.076
1.501,0.068
1.502,0.066
1.503,0.068
1.504,0.068
1.505,0.070
1.506,0.072
1.507,0.074
1.508,0.080
1.509,0.077
1.510,0.078
1.511,0.081
1.512,0.081
1.513,0.082
1.514,0.079
1.515,0.074
1.516,0.064
1.517,0.062
1.518,0.063
1.519,0.068
1.520,0.074
1.521,0.069
1.522,0.064
1.523,0.058
1.524,0.062
1.525,0.061
1.526,0.059
1.527,0.063
1.528,0.064
1.529,0.059
1.530,0.052
1.531,0.060
1.532,0.065
1.533,0.064
1.534,0.058
1.535,0.060
1.536,0.066
1.537,0.059
1.538,0.059
1.539,0.061
1.540,0.066
1.541,0.066
1.542,0.066
1.543,0.064
1.544,0.051
1.545,0.056
1.546,0.059
1.547,0.055
1.548,0.051
1.549,0.049
1.550,0.057
1.551,0.061
1.552,0.062
1.553,0.066
1.554,0.067
1.555,0.067
1.556,0.068
1.557,0.068
1.558,0.063
1.559,0.059
1.560,0.055
1.561,0.049
1.562,0.049
1.563,0.049
1.564,0.051
1.565,0.054
1.566,0.052
1.567,0.057
1.568,0.061
1.569,0.061
1.570,0.059
1.571,0.057
1.572,0.055
1.573,0.053
1.574,0.054
1.575,0.059
1.576,0.064
1.577,0.068
1.578,0.066
1.579,0.059
1.580,0.060
1.581,0.059
1.582,0.051
1.583,0.048
1.584,0.061
1.585,0.071
1.586,0.073
1.587,0.071
1.588,0.073
1.589,0.072
1.590,0.061
1.591,0.067
1.592,0.067
1.593,0.067
1.594,0.072
1.595,0.074
1.596,0.087
1.597,0.086
1.598,0.071
1.599,0.080
1.600,0.089
1.601,0.086
1.602,0.085
1.603,0.062
1.604,0.054
1.605,0.068
1.606,0.071
1.607,0.070
1.608,0.071
1.609,0.073
1.610,0.077
1.611,0.084
1.612,0.086
1.613,0.089
1.614,0.100
1.615,0.104
1.616,0.102
1.617,0.107
1.618,0.113
1.619,0.115
1.620,0.113
1.621,0.107
1.622,0.101
1.623,0.092
1.624,0.086
1.625,0.088
1.626,0.089
1.627,0.082
1.628,0.091
1.629,0.097
1.630,0.094
1.631,0.096
1.632,0.096
1.633,0.102
1.634,0.102
1.635,0.102
1.636,0.104
1.637,0.114
1.638,0.121
1.639,0.122
1.640,0.119
1.641,0.113
1.642,0.117
1.643,0.129
1.644,0.136
1.645,0.135
1.646,0.135
1.647,0.136
1.648,0.138
1.649,0.132
1.650,0.132
1.651,0.137
1.652,0.134
1.653,0.135
1.654,0.140
1.655,0.139
1.656,0.143
1.657,0.148
1.658,0.148
1.659,0.150
1.660,0.144
1.661,0.139
1.662,0.141
1.663,0.142
1.664,0.150
1.665,0.149
1.666,0.152
1.667,0.156
1.668,0.153
1.669,0.158
1.670,0.166
1.671,0.170
1.672,0.165
1.673,0.162
1.674,0.160
1.675,0.161
1.676,0.167
1.677,0.162
1.678,0.162
1.679,0.165
1.680,0.165
1.681,0.161
1.682,0.157
1.683,0.153
1.684,0.150
1.685,0.157
1.686,0.158
1.687,0.158
1.688,0.164
1.689,0.162
1.690,0.164
1.691,0.166
1.692,0.161
1.693,0.162
1.694,0.166
1.695,0.171
1.696,0.174
1.697,0.180
1.698,0.182
1.699,0.179
1.700,0.172
1.701,0.167
1.702,0.166
1.703,0.163
1.704,0.156
1.705,0.155
1.706,0.165
1.707,0.162
1.708,0.161
1.709,0.172
1.710,0.164
1.711,0.149
1.712,0.150
1.713,0.151
1.714,0.167
1.715,0.178
1.716,0.165
1.717,0.162
1.718,0.165
1.719,0.165
1.720,0.157
1.721,0.141
1.722,0.132
1.723,0.129
1.724,0.133
1.725,0.134
1.726,0.133
